"stndr_name","iso3","date","country","lat_avg","lon_avg"
NA," PYF",NA,"French Polynesia",-15,-140
NA," ATF",NA,"French Southern Territories",-43,67
NA," GAB",NA,"Gabon",-1,11.75
NA," GMB",NA,"Gambia",13.4667,-16.5667
NA," GEO",NA,"Georgia",42,43.5
NA," DEU",NA,"Germany",51,9
NA," GHA",NA,"Ghana",8,-2
NA," GIB",NA,"Gibraltar",36.1833,-5.3667
NA," GRC",NA,"Greece",39,22
NA," GRL",NA,"Greenland",72,-40
NA," GRD",NA,"Grenada",12.1167,-61.6667
NA," GLP",NA,"Guadeloupe",16.25,-61.5833
NA," GUM",NA,"Guam",13.4667,144.7833
NA," GTM",NA,"Guatemala",15.5,-90.25
NA," GGY",NA,"Guernsey",49.5,-2.56
NA," GIN",NA,"Guinea",11,-10
NA," GNB",NA,"Guinea-Bissau",12,-15
NA," GUY",NA,"Guyana",5,-59
NA," HTI",NA,"Haiti",19,-72.4167
NA," HMD",NA,"Heard Island and McDonald Islands",-53.1,72.5167
NA," VAT",NA,"Holy See (Vatican City State)",41.9,12.45
NA," HND",NA,"Honduras",15,-86.5
NA," HKG",NA,"Hong Kong",22.25,114.1667
NA," HUN",NA,"Hungary",47,20
NA," ISL",NA,"Iceland",65,-18
NA," IND",NA,"India",20,77
NA," IDN",NA,"Indonesia",-5,120
NA," IRN",NA,"Iran, Islamic Republic of",32,53
NA," IRQ",NA,"Iraq",33,44
NA," IRL",NA,"Ireland",53,-8
NA," IMN",NA,"Isle of Man",54.23,-4.55
NA," ISR",NA,"Israel",31.5,34.75
NA," ITA",NA,"Italy",42.8333,12.8333
NA," JAM",NA,"Jamaica",18.25,-77.5
NA," JPN",NA,"Japan",36,138
NA," JEY",NA,"Jersey",49.21,-2.13
NA," JOR",NA,"Jordan",31,36
NA," KAZ",NA,"Kazakhstan",48,68
NA," KEN",NA,"Kenya",1,38
NA," KIR",NA,"Kiribati",1.4167,173
NA," PRK",NA,"Korea, Democratic People's Republic of",40,127
NA," KOR",NA,"Korea, Republic of",37,127.5
NA," KOR",NA,"South Korea",37,127.5
NA," KWT",NA,"Kuwait",29.3375,47.6581
NA," KGZ",NA,"Kyrgyzstan",41,75
NA," LAO",NA,"Lao People's Democratic Republic",18,105
NA," LVA",NA,"Latvia",57,25
NA," LBN",NA,"Lebanon",33.8333,35.8333
NA," LSO",NA,"Lesotho",-29.5,28.5
NA," LBR",NA,"Liberia",6.5,-9.5
NA," LBY",NA,"Libyan Arab Jamahiriya",25,17
NA," LBY",NA,"Libya",25,17
NA," LIE",NA,"Liechtenstein",47.1667,9.5333
NA," LTU",NA,"Lithuania",56,24
NA," LUX",NA,"Luxembourg",49.75,6.1667
NA," MAC",NA,"Macao",22.1667,113.55
NA," MKD",NA,"Macedonia, the former Yugoslav Republic of",41.8333,22
NA," MDG",NA,"Madagascar",-20,47
NA," MWI",NA,"Malawi",-13.5,34
NA," MYS",NA,"Malaysia",2.5,112.5
NA," MDV",NA,"Maldives",3.25,73
NA," MLI",NA,"Mali",17,-4
NA," MLT",NA,"Malta",35.8333,14.5833
NA," MHL",NA,"Marshall Islands",9,168
NA," MTQ",NA,"Martinique",14.6667,-61
NA," MRT",NA,"Mauritania",20,-12
NA," MUS",NA,"Mauritius",-20.2833,57.55
NA," MYT",NA,"Mayotte",-12.8333,45.1667
NA," MEX",NA,"Mexico",23,-102
NA," FSM",NA,"Micronesia, Federated States of",6.9167,158.25
NA," MDA",NA,"Moldova, Republic of",47,29
NA," MCO",NA,"Monaco",43.7333,7.4
NA," MNG",NA,"Mongolia",46,105
NA," MNE",NA,"Montenegro",42,19
NA," MSR",NA,"Montserrat",16.75,-62.2
NA," MAR",NA,"Morocco",32,-5
NA," MOZ",NA,"Mozambique",-18.25,35
NA," MMR",NA,"Myanmar",22,98
NA," MMR",NA,"Burma",22,98
NA," NAM",NA,"Namibia",-22,17
NA," NRU",NA,"Nauru",-0.5333,166.9167
NA," NPL",NA,"Nepal",28,84
NA," NLD",NA,"Netherlands",52.5,5.75
NA," ANT",NA,"Netherlands Antilles",12.25,-68.75
NA," NCL",NA,"New Caledonia",-21.5,165.5
NA," NZL",NA,"New Zealand",-41,174
NA," NIC",NA,"Nicaragua",13,-85
NA," NER",NA,"Niger",16,8
NA," NGA",NA,"Nigeria",10,8
NA," NIU",NA,"Niue",-19.0333,-169.8667
NA," NFK",NA,"Norfolk Island",-29.0333,167.95
NA," MNP",NA,"Northern Mariana Islands",15.2,145.75
NA," NOR",NA,"Norway",62,10
NA," OMN",NA,"Oman",21,57
NA," PAK",NA,"Pakistan",30,70
NA," PLW",NA,"Palau",7.5,134.5
NA," PSE",NA,"Palestinian Territory, Occupied",32,35.25
NA," PAN",NA,"Panama",9,-80
NA," PNG",NA,"Papua New Guinea",-6,147
NA," PRY",NA,"Paraguay",-23,-58
NA," PER",NA,"Peru",-10,-76
NA," PHL",NA,"Philippines",13,122
NA," PCN",NA,"Pitcairn",-24.7,-127.4
NA," POL",NA,"Poland",52,20
NA," PRT",NA,"Portugal",39.5,-8
NA," PRI",NA,"Puerto Rico",18.25,-66.5
NA," QAT",NA,"Qatar",25.5,51.25
NA," REU",NA,"Réunion",-21.1,55.6
NA," ROU",NA,"Romania",46,25
NA," RUS",NA,"Russian Federation",60,100
NA," RUS",NA,"Russia",60,100
NA," RWA",NA,"Rwanda",-2,30
NA," SHN",NA,"Saint Helena, Ascension and Tristan da Cunha",-15.9333,-5.7
NA," KNA",NA,"Saint Kitts and Nevis",17.3333,-62.75
NA," LCA",NA,"Saint Lucia",13.8833,-61.1333
NA," SPM",NA,"Saint Pierre and Miquelon",46.8333,-56.3333
NA," VCT",NA,"Saint Vincent and the Grenadines",13.25,-61.2
NA," VCT",NA,"Saint Vincent & the Grenadines",13.25,-61.2
NA," VCT",NA,"St. Vincent and the Grenadines",13.25,-61.2
NA," WSM",NA,"Samoa",-13.5833,-172.3333
NA," SMR",NA,"San Marino",43.7667,12.4167
NA," STP",NA,"Sao Tome and Principe",1,7
NA," SAU",NA,"Saudi Arabia",25,45
NA," SEN",NA,"Senegal",14,-14
NA," SRB",NA,"Serbia",44,21
NA," SYC",NA,"Seychelles",-4.5833,55.6667
NA," SLE",NA,"Sierra Leone",8.5,-11.5
NA," SGP",NA,"Singapore",1.3667,103.8
NA," SVK",NA,"Slovakia",48.6667,19.5
NA," SVN",NA,"Slovenia",46,15
NA," SLB",NA,"Solomon Islands",-8,159
NA," SOM",NA,"Somalia",10,49
NA," ZAF",NA,"South Africa",-29,24
NA," SGS",NA,"South Georgia and the South Sandwich Islands",-54.5,-37
NA," SSD",NA,"South Sudan",8,30
NA," ESP",NA,"Spain",40,-4
NA," LKA",NA,"Sri Lanka",7,81
NA," SDN",NA,"Sudan",15,30
NA," SUR",NA,"Suriname",4,-56
NA," SJM",NA,"Svalbard and Jan Mayen",78,20
NA," SWZ",NA,"Swaziland",-26.5,31.5
NA," SWE",NA,"Sweden",62,15
NA," CHE",NA,"Switzerland",47,8
NA," SYR",NA,"Syrian Arab Republic",35,38
NA," TWN",NA,"Taiwan, Province of China",23.5,121
NA," TWN",NA,"Taiwan",23.5,121
NA," TJK",NA,"Tajikistan",39,71
NA," TZA",NA,"Tanzania, United Republic of",-6,35
NA," THA",NA,"Thailand",15,100
NA," TLS",NA,"Timor-Leste",-8.55,125.5167
NA," TGO",NA,"Togo",8,1.1667
NA," TKL",NA,"Tokelau",-9,-172
NA," TON",NA,"Tonga",-20,-175
NA," TTO",NA,"Trinidad and Tobago",11,-61
NA," TUN",NA,"Tunisia",34,9
NA," TUR",NA,"Turkey",39,35
NA," TKM",NA,"Turkmenistan",40,60
NA," TCA",NA,"Turks and Caicos Islands",21.75,-71.5833
NA," TUV",NA,"Tuvalu",-8,178
NA," UGA",NA,"Uganda",1,32
NA," UKR",NA,"Ukraine",49,32
NA," ARE",NA,"United Arab Emirates",24,54
NA," GBR",NA,"United Kingdom",54,-2
NA," USA",NA,"United States",38,-97
NA," UMI",NA,"United States Minor Outlying Islands",19.2833,166.6
NA," URY",NA,"Uruguay",-33,-56
NA," UZB",NA,"Uzbekistan",41,64
NA," VUT",NA,"Vanuatu",-16,167
NA," VEN",NA,"Venezuela, Bolivarian Republic of",8,-66
NA," VEN",NA,"Venezuela",8,-66
NA," VNM",NA,"Viet Nam",16,106
NA," VNM",NA,"Vietnam",16,106
NA," VGB",NA,"Virgin Islands, British",18.5,-64.5
NA," VIR",NA,"Virgin Islands, U.S.",18.3333,-64.8333
NA," WLF",NA,"Wallis and Futuna",-13.3,-176.2
NA," ESH",NA,"Western Sahara",24.5,-13
NA," YEM",NA,"Yemen",15,48
NA," ZMB",NA,"Zambia",-15,30
NA," ZWE",NA,"Zimbabwe",-20,30
NA,"WSH",NA,"Sahrawi Arab Democratic Republic",24.2155,12.8858
